"county","state","total_customer_last_month","churn_count_last_month","churn_percent_fiber","churn_percent_dsl","churn_percent_only_phone"
"Los Angeles","CA","91","25","0.28","0.56","0.16"
"Maricopa","AZ","33","15","0.40","0.40","0.20"
"Cook","IL","56","15","0.47","0.40","0.13"
"Harris","TX","47","11","0.45","0.55","0.00"
"Alameda","CA","16","10","0.20","0.60","0.20"
"Orange","CA","20","9","0.33","0.67","0.00"
"St. Louis","MO","30","8","0.25","0.38","0.38"
"New Haven","CT","13","8","0.50","0.38","0.13"
"Palm Beach","FL","26","8","0.63","0.25","0.13"
"Clark","NV","24","8","0.25","0.63","0.13"
"Middlesex","MA","23","8","0.38","0.38","0.25"
"Erie","NY","25","8","0.13","0.63","0.25"
"Fairfax","VA","22","8","0.63","0.38","0.00"
"San Diego","CA","27","8","0.50","0.25","0.25"
"Fresno","CA","23","7","0.14","0.43","0.43"
"Cuyahoga","OH","16","7","0.43","0.29","0.29"
"Bergen","NJ","28","7","0.43","0.43","0.14"
"Bexar","TX","22","7","0.29","0.43","0.29"
"Snohomish","WA","13","7","0.57","0.29","0.14"
"Fairfield","CT","16","7","0.14","0.43","0.43"
"San Bernardino","CA","28","7","0.29","0.43","0.29"
"Westchester","NY","19","7","0.43","0.43","0.14"
"Honolulu","HI","17","6","0.33","0.33","0.33"
"Douglas","OR","11","6","0.33","0.50","0.17"
"Morris","NJ","19","6","0.50","0.50","0.00"
"Philadelphia","PA","18","6","0.50","0.33","0.17"
"Otsego","NY","14","6","0.33","0.50","0.17"
"Raleigh","WV","16","6","0.50","0.33","0.17"
"Kern","CA","15","6","0.17","0.67","0.17"
"Marion","IN","16","6","0.67","0.17","0.17"
"Montgomery","PA","20","6","0.50","0.50","0.00"
"Lee","FL","17","6","0.00","0.67","0.33"
"Monroe","NY","19","6","0.50","0.33","0.17"
"Spokane","WA","9","6","0.17","0.67","0.17"
"Worcester","MA","22","6","0.33","0.50","0.17"
"Hillsborough","FL","20","6","0.50","0.17","0.33"
"Luzerne","PA","13","5","0.40","0.40","0.20"
"Jackson","MO","16","5","0.40","0.20","0.40"
"Miami-Dade","FL","20","5","0.40","0.60","0.00"
"Tulsa","OK","9","5","0.20","0.40","0.40"
"Hartford","CT","14","5","0.00","0.60","0.40"
"Hennepin","MN","24","5","0.40","0.60","0.00"
"Charleston","SC","8","5","0.40","0.60","0.00"
"Franklin","OH","13","5","0.80","0.20","0.00"
"Oxford","ME","16","5","0.20","0.40","0.40"
"Cedar","NE","7","5","0.40","0.40","0.20"
"Otero","NM","6","5","0.40","0.20","0.40"
"Pinellas","FL","18","5","0.40","0.40","0.20"
"Douglas","NE","7","5","0.40","0.20","0.40"
"Humboldt","CA","15","5","0.40","0.60","0.00"
"Jefferson","CO","11","5","0.60","0.20","0.20"
"New York","NY","24","5","0.40","0.60","0.00"
"Oakland","MI","23","5","0.60","0.40","0.00"
"Chenango","NY","11","5","0.20","0.80","0.00"
"Contra Costa","CA","10","5","0.60","0.20","0.20"
"Greene","NY","14","5","0.40","0.40","0.20"
"Richland","ND","7","5","1.00","0.00","0.00"
"Barnstable","MA","15","5","0.20","0.60","0.20"
"Fayette","WV","10","5","0.60","0.40","0.00"
"Nassau","NY","24","5","0.60","0.40","0.00"
"San Francisco","CA","11","5","0.40","0.60","0.00"
"Denton","TX","11","5","0.20","0.40","0.40"
"Wyoming","WV","19","5","0.40","0.40","0.20"
"Cass","ND","9","5","0.60","0.20","0.20"
"Allegheny","PA","29","5","0.20","0.60","0.20"
"Schuylkill","PA","18","5","0.40","0.00","0.60"
"Orange","FL","13","5","0.40","0.40","0.20"
"St. Louis","MN","14","5","0.60","0.20","0.20"
"Kent","DE","9","5","0.00","0.60","0.40"
"Bedford","PA","6","4","0.25","0.75","0.00"
"Cedar","IA","5","4","0.00","0.50","0.50"
"Columbia","NY","13","4","0.75","0.00","0.25"
"Riverside","CA","19","4","0.25","0.25","0.50"
"Okanogan","WA","7","4","0.50","0.50","0.00"
"Oklahoma","OK","26","4","0.75","0.00","0.25"
"Oneida","NY","21","4","0.50","0.25","0.25"
"Orange","NY","13","4","0.50","0.25","0.25"
"Pointe Coupee","LA","9","4","0.50","0.50","0.00"
"Floyd","KY","12","4","0.50","0.25","0.25"
"Pierce","WA","15","4","0.25","0.50","0.25"
"Fayette","PA","19","4","0.25","0.25","0.50"
"Pasco","FL","12","4","0.25","0.75","0.00"
"Linn","IA","7","4","0.50","0.50","0.00"
"Lincoln","NM","5","4","0.25","0.75","0.00"
"York","SC","6","4","0.50","0.50","0.00"
"Yavapai","AZ","7","4","0.00","0.75","0.25"
"Wyoming","NY","6","4","0.50","0.25","0.25"
"Broward","FL","20","4","0.75","0.25","0.00"
"Calaveras","CA","11","4","0.00","0.50","0.50"
"Wood","OH","8","4","0.25","0.75","0.00"
"Wayne","MI","18","4","0.50","0.25","0.25"
"Mobile","AL","12","4","0.75","0.00","0.25"
"Washington","PA","18","4","0.50","0.50","0.00"
"Monmouth","NJ","15","4","0.50","0.25","0.25"
"Atlantic","NJ","8","4","0.25","0.50","0.25"
"Cumberland","ME","10","4","0.50","0.50","0.00"
"Wake","NC","21","4","0.50","0.50","0.00"
"Herkimer","NY","7","4","0.00","1.00","0.00"
"Henry","IN","7","4","0.50","0.50","0.00"
"Ulster","NY","16","4","0.25","0.50","0.25"
"Delaware","NY","17","4","0.00","0.75","0.25"
"Montgomery","MD","16","4","0.50","0.00","0.50"
"Tulare","CA","10","4","0.50","0.25","0.25"
"Hampden","MA","10","4","0.25","0.75","0.00"
"Hamilton","OH","17","4","0.25","0.50","0.25"
"Guilford","NC","11","4","0.50","0.25","0.25"
"King","WA","23","4","0.75","0.25","0.00"
"Nacogdoches","TX","6","4","0.25","0.75","0.00"
"Greene","PA","8","4","1.00","0.00","0.00"
"Shelby","TN","12","4","0.25","0.75","0.00"
"El Paso","CO","14","4","0.50","0.00","0.50"
"Santa Clara","CA","16","4","0.25","0.75","0.00"
"San Luis Obispo","CA","8","4","0.25","0.50","0.25"
"Rutland","VT","8","4","0.75","0.00","0.25"
"Otter Tail","MN","11","3","0.00","1.00","0.00"
"Huntingdon","PA","10","3","0.00","1.00","0.00"
"Albany","NY","13","3","0.67","0.33","0.00"
"Douglas","IL","3","3","0.33","0.67","0.00"
"Webster","IA","4","3","0.00","1.00","0.00"
"Allegany","MD","5","3","0.00","0.33","0.67"
"Pike","PA","5","3","0.33","0.33","0.33"
"Sandoval","NM","6","3","0.33","0.67","0.00"
"Jasper","IA","7","3","0.00","1.00","0.00"
"Wayne","IN","6","3","0.00","0.33","0.67"
"Franklin","AL","4","3","0.33","0.67","0.00"
"Waushara","WI","4","3","0.33","0.67","0.00"
"Grafton","NH","14","3","0.33","0.67","0.00"
"Clay","WV","5","3","0.33","0.33","0.33"
"Benzie","MI","4","3","0.00","0.67","0.33"
"Cumberland","PA","7","3","0.33","0.67","0.00"
"Elk","PA","6","3","0.33","0.33","0.33"
"Butler","OH","5","3","0.33","0.67","0.00"
"Houghton","MI","4","3","0.33","0.00","0.67"
"Oconto","WI","5","3","0.33","0.67","0.00"
"Allegany","NY","8","3","0.67","0.33","0.00"
"Jefferson","PA","8","3","0.67","0.33","0.00"
"Hillsdale","MI","5","3","0.67","0.33","0.00"
"Franklin","NY","9","3","0.67","0.33","0.00"
"Waldo","ME","8","3","0.67","0.33","0.00"
"Jefferson","WI","5","3","0.00","1.00","0.00"
"Adams","PA","3","3","0.00","0.33","0.67"
"Lawrence","KY","4","3","0.33","0.67","0.00"
"Champaign","IL","8","3","0.00","0.67","0.33"
"Jefferson","AL","14","3","0.67","0.33","0.00"
"Monroe","OH","5","3","1.00","0.00","0.00"
"Clark","SD","8","3","0.67","0.00","0.33"
"Jefferson","AR","8","3","0.33","0.67","0.00"
"Clark","OH","6","3","0.67","0.00","0.33"
"Franklin","PA","7","3","0.67","0.33","0.00"
"Goodhue","MN","5","3","0.67","0.33","0.00"
"Dane","WI","9","3","0.67","0.33","0.00"
"Larimer","CO","6","3","1.00","0.00","0.00"
"Langlade","WI","5","3","0.33","0.33","0.33"
"Henderson","TX","6","3","0.33","0.67","0.00"
"Montgomery","GA","9","3","0.33","0.67","0.00"
"Hempstead","AR","3","3","0.67","0.33","0.00"
"Saline","AR","7","3","0.33","0.33","0.33"
"Sacramento","CA","11","3","0.33","0.00","0.67"
"Providence","RI","11","3","0.00","0.33","0.67"
"Adams","IL","4","3","0.33","0.67","0.00"
"Rockingham","VA","9","3","0.33","0.33","0.33"
"Tuolumne","CA","6","3","0.33","0.67","0.00"
"Logan","IL","8","3","0.33","0.67","0.00"
"Elmore","AL","8","3","0.33","0.67","0.00"
"Travis","TX","13","3","0.33","0.67","0.00"
"Pulaski","AR","6","3","0.67","0.33","0.00"
"Pulaski","KY","3","3","1.00","0.00","0.00"
"Dutchess","NY","12","3","0.67","0.33","0.00"
"Madison","IN","7","3","0.67","0.33","0.00"
"Duval","FL","9","3","0.33","0.67","0.00"
"Black Hawk","IA","6","3","0.67","0.33","0.00"
"Tazewell","IL","6","3","0.00","0.67","0.33"
"Orangeburg","SC","7","3","0.33","0.33","0.33"
"Apache","AZ","8","3","0.67","0.00","0.33"
"Tarrant","TX","21","3","0.00","0.33","0.67"
"Taos","NM","8","3","0.33","0.67","0.00"
"Nueces","TX","13","3","0.33","0.33","0.33"
"Kauai","HI","7","3","1.00","0.00","0.00"
"Summit","OH","13","3","0.33","0.33","0.33"
"Sullivan","NY","11","3","0.33","0.33","0.33"
"Lane","OR","15","3","0.33","0.33","0.33"
"Suffolk","NY","27","3","0.00","0.33","0.67"
"Suffolk","MA","13","3","0.67","0.33","0.00"
"Halifax","NC","5","3","0.00","0.67","0.33"
"Starr","TX","4","3","0.33","0.33","0.33"
"Stark","OH","7","3","0.33","0.67","0.00"
"Lake","IN","6","3","0.33","0.33","0.33"
"Eastland","TX","6","3","0.00","1.00","0.00"
"District of Columbia","DC","14","3","1.00","0.00","0.00"
"North Slope","AK","8","3","0.67","0.33","0.00"
"Big Horn","MT","3","3","0.00","0.67","0.33"
"Essex","NY","5","3","0.33","0.33","0.33"
"Delta","MI","7","3","0.33","0.67","0.00"
"Logan","WV","10","3","0.33","0.00","0.67"
"St. Lawrence","NY","12","3","0.33","0.67","0.00"
"Baltimore","MD","15","3","0.67","0.00","0.33"
"Griggs","ND","4","3","0.33","0.67","0.00"
"St. Clair","MI","11","3","0.00","1.00","0.00"
"Davidson","TN","9","3","0.00","0.67","0.33"
"Spartanburg","SC","7","3","0.00","0.67","0.33"
"Calvert","MD","4","3","0.67","0.33","0.00"
"Kings","NY","8","3","0.33","0.67","0.00"
"Marion","IA","4","3","0.00","0.33","0.67"
"Kanawha","WV","10","3","0.67","0.33","0.00"
"Cambria","PA","16","3","0.67","0.00","0.33"
"Onondaga","NY","15","3","0.00","0.67","0.33"
"Sonoma","CA","12","3","0.33","0.67","0.00"
"Northampton","PA","12","3","0.33","0.00","0.67"
"Somerset","ME","10","3","0.67","0.00","0.33"
"Cass","NE","7","3","0.00","0.67","0.33"
"Beaufort","SC","8","3","0.00","1.00","0.00"
"McLeod","MN","5","3","0.33","0.33","0.33"
"Cass","TX","5","3","0.67","0.33","0.00"
"Gallia","OH","5","3","0.33","0.33","0.33"
"Essex","MA","13","3","0.33","0.67","0.00"
"Giles","VA","4","3","0.00","0.33","0.67"
"Bucks","PA","12","3","0.00","0.33","0.67"
"Catron","NM","4","3","0.33","0.33","0.33"
"Genesee","MI","8","3","0.00","1.00","0.00"
"Okaloosa","FL","4","3","0.00","1.00","0.00"
"Bethel","AK","6","3","1.00","0.00","0.00"
"Juneau","WI","6","3","0.00","0.33","0.67"
"Grayson","TX","7","3","0.33","0.67","0.00"
"Shelby","IL","5","3","0.00","1.00","0.00"
"Sheboygan","WI","3","3","0.33","0.33","0.33"
"Grays Harbor","WA","9","3","0.33","0.67","0.00"
"Chautauqua","NY","11","3","0.67","0.33","0.00"
"Rock","MN","5","3","0.33","0.33","0.33"
"Grant","WI","8","3","0.67","0.33","0.00"
"Grant","WA","8","3","1.00","0.00","0.00"
"Rockbridge","VA","3","3","0.33","0.67","0.00"
"Jones","IA","5","3","0.00","0.33","0.67"
"El Paso","TX","12","3","0.00","0.67","0.33"
"Scott","IA","6","3","0.33","0.67","0.00"
"Rockingham","NC","3","3","0.33","0.67","0.00"
"Butler","KS","5","3","1.00","0.00","0.00"
"Yukon-Koyukuk","AK","10","3","0.67","0.00","0.33"
"Saratoga","NY","8","3","0.33","0.67","0.00"
"Mercer","NJ","7","3","0.33","0.33","0.33"
"Jackson","IL","5","3","0.33","0.67","0.00"
"Livingston","NY","8","3","0.33","0.33","0.33"
"Sarasota","FL","11","3","0.67","0.33","0.00"
"Dodge","WI","7","3","0.33","0.67","0.00"
"Brown","MN","4","3","1.00","0.00","0.00"
"Mesa","CO","10","3","0.67","0.33","0.00"
"Metcalfe","KY","3","3","0.67","0.33","0.00"
"Medina","TX","6","3","0.33","0.33","0.33"
"Passaic","NJ","11","3","0.67","0.33","0.00"
